Age,Attrition,DailyRate,DistanceFromHome,HourlyRate,MonthlyIncome,MonthlyRate,OverTime,StockOptionLevel,TotalWorkingYears,YearsAtCompany
30,No,201,5,84,3204,10415,No,1,8,3
30,No,1427,2,35,2720,11162,No,0,6,5
41,No,857,10,91,17181,12888,No,1,21,7
41,No,933,9,94,2238,6961,No,1,7,5
19,No,1181,3,79,1483,16102,No,0,1,1
40,No,1395,26,54,5605,8504,No,1,20,20
35,No,662,1,94,7295,11439,No,2,10,10
53,No,1436,6,34,2306,16047,Yes,1,13,7
45,No,194,9,60,2348,10901,No,1,20,17
32,No,967,8,43,8998,15589,No,0,9,9
29,No,1496,1,41,4319,26283,No,1,10,10
51,No,1169,7,34,6132,13983,No,0,10,1
58,No,1145,9,75,3346,11873,Yes,1,9,1
40,No,630,4,67,10855,8552,No,1,15,12
34,No,303,2,75,2231,11314,No,1,6,4
22,No,1256,19,80,2323,11992,No,2,2,2
27,No,691,9,57,2024,5970,No,1,6,2
28,No,440,21,42,2713,6672,No,1,5,5
57,No,334,24,83,9439,23402,Yes,1,12,5
27,No,1450,3,79,2566,25326,Yes,1,1,1
50,No,1452,11,53,19926,17053,No,0,21,5
41,No,465,14,56,2451,4609,No,1,13,9
30,No,1339,5,41,9419,8053,No,1,12,10
38,No,702,1,59,8686,12930,No,0,12,8
32,No,120,6,43,3038,12430,No,0,8,5
27,No,1157,17,51,3058,13364,Yes,1,6,5
19,Yes,602,1,100,2325,20989,No,0,1,0
36,No,1480,3,30,2088,15062,No,0,13,8
30,No,111,9,66,3072,11012,No,2,12,12
45,No,1268,4,30,5006,6319,Yes,1,9,5
56,No,713,8,67,4257,13939,Yes,1,19,2
33,No,134,2,90,2500,10515,No,0,4,3
19,Yes,303,2,47,1102,9241,No,0,1,1
46,No,526,1,92,10453,2137,No,3,24,24
38,No,1380,9,75,2288,6319,No,0,2,2
31,No,140,12,95,3929,6984,Yes,1,7,4
34,No,629,27,95,2311,5711,No,0,9,3
41,Yes,1356,20,70,3140,21728,Yes,0,4,4
50,No,328,1,86,3690,3425,No,1,5,3
53,No,1084,13,57,4450,26250,No,2,5,4
33,No,931,14,72,2756,4673,No,1,8,8
40,No,989,4,46,19033,6499,No,1,21,20
55,No,692,14,61,18722,13339,No,0,36,24
34,No,1069,2,45,9547,14074,No,0,10,10
51,No,313,3,98,13734,7192,No,0,21,7
52,No,699,1,65,19999,5678,No,1,34,33
27,No,894,9,99,2279,11781,No,0,7,7
35,Yes,556,23,50,5916,15497,Yes,0,8,1
43,No,1344,7,37,2089,5228,No,3,7,5
45,No,1195,2,65,16792,20462,No,1,22,20
37,No,290,21,65,3564,22977,Yes,1,8,8
35,No,138,2,37,4425,15986,No,0,10,6
42,No,926,21,36,5265,16439,No,1,11,5
38,No,1261,2,88,6553,7259,No,0,14,1
38,No,1084,29,54,6261,4185,No,1,9,7
27,No,472,1,60,4298,9679,No,1,6,2
49,No,1002,18,92,6804,23793,Yes,2,7,7
34,No,878,10,43,3815,5972,Yes,1,5,5
40,No,905,19,99,2741,16523,Yes,1,15,7
38,Yes,1180,29,70,6673,11354,Yes,0,17,1
29,Yes,121,27,35,7639,24525,No,3,10,10
22,No,1136,5,60,2328,12392,Yes,1,4,4
36,No,635,18,73,2153,7703,No,0,8,8
40,No,1151,9,63,4876,14242,No,1,5,3
46,No,644,1,97,9396,12368,No,1,17,4
32,Yes,1045,4,32,10400,25812,No,0,14,14
30,No,829,1,88,8474,20925,No,0,12,11
27,No,1242,20,90,9981,12916,No,0,7,7
51,No,1469,8,81,12490,15736,No,2,16,10
30,Yes,1005,3,88,2657,8556,Yes,0,8,5
41,No,896,6,75,13591,14674,Yes,0,16,1
30,Yes,334,26,52,6696,22967,No,0,9,6
29,Yes,992,1,85,2058,19757,No,0,7,6
45,No,1052,6,57,8865,16840,No,0,23,19
54,No,1147,3,52,5940,17011,No,1,16,6
36,No,1396,5,62,5914,9945,No,0,16,13
33,No,147,4,47,2622,13248,No,0,7,3
37,No,663,11,47,12185,10056,Yes,3,10,10
38,No,119,3,76,10609,9647,No,2,17,16
31,No,979,1,90,4345,4381,No,1,6,5
59,No,142,3,70,2177,8456,No,1,7,1
37,No,319,4,41,2793,2539,No,1,13,9
29,No,1413,1,42,7918,6599,No,1,11,11
35,No,944,1,92,8789,9096,No,0,10,10
29,Yes,896,18,86,2389,14961,Yes,0,4,4
52,No,1323,2,89,3212,3300,No,0,6,2
42,No,532,4,58,19232,4933,No,0,22,22
59,No,818,6,52,2267,25657,No,0,7,2
50,No,854,1,68,19517,24118,No,1,32,7
33,Yes,813,14,58,2436,22149,Yes,1,8,5
43,No,1034,16,80,16064,7744,Yes,1,22,17
33,Yes,465,2,39,2707,21509,No,0,13,9
52,No,771,2,79,19068,21030,Yes,0,33,33
32,No,1401,4,56,3931,20990,No,1,6,4
32,Yes,515,1,62,3730,9571,Yes,0,4,3
39,No,1431,1,96,2232,15417,No,3,7,3
32,No,976,26,100,4465,12069,No,0,4,3
41,No,1411,19,36,3072,19877,No,2,17,1
40,No,1300,24,62,3319,24447,No,2,9,9
45,No,252,1,70,19202,15970,No,1,25,24
31,No,1327,3,73,13675,13523,No,1,9,2
33,No,832,5,63,2911,14776,No,1,2,2
34,No,470,2,84,5957,23687,No,1,13,11
37,No,1017,1,83,3920,18697,No,1,17,3
45,No,1199,7,77,6434,5118,No,1,9,3
37,Yes,504,10,61,10048,22573,No,2,17,1
39,No,505,2,64,10938,6420,No,0,20,19
29,No,665,15,60,2340,22673,No,0,6,6
42,No,916,17,82,6545,23016,Yes,0,10,3
29,No,1247,20,45,6931,10732,No,1,10,3
25,No,685,1,62,4898,7505,No,2,5,4
42,No,269,2,56,2593,8007,Yes,1,10,9
40,No,1416,2,49,19436,5949,No,1,22,21
51,No,833,1,96,2723,23231,No,0,1,1
31,Yes,307,29,71,3479,11652,No,0,6,5
32,No,1311,7,100,2794,26062,No,0,5,5
38,No,1327,2,39,5249,19682,No,1,13,8
32,No,128,2,84,2176,19737,No,0,9,6
46,No,488,2,75,16872,14977,Yes,1,28,7
28,Yes,529,2,79,3485,14935,No,0,5,0
29,No,1210,2,78,6644,3687,No,2,10,0
31,No,1463,23,64,5582,14408,No,1,10,9
25,No,675,5,85,4000,18384,No,2,6,6
45,No,1385,20,79,13496,7501,Yes,0,21,20
36,No,1403,6,47,3210,20251,No,1,16,15
55,No,452,1,81,19045,18938,Yes,0,37,36
47,Yes,666,29,88,11849,10268,Yes,1,10,10
28,No,1158,9,94,2070,2613,No,1,5,5
37,No,228,6,98,6502,22825,No,1,7,5
21,No,996,3,100,3230,10531,No,0,3,3
37,No,728,1,80,13603,11677,Yes,2,15,5
35,No,1315,22,71,11996,19100,No,1,10,7
38,No,322,7,44,5605,19191,Yes,1,8,8
26,No,1479,1,84,6397,26767,No,1,6,6
50,No,797,4,96,19144,15815,No,2,28,10
53,No,1070,3,45,17584,21016,Yes,3,21,5
42,No,635,1,99,4907,24532,No,0,20,20
29,No,442,2,44,4554,20260,No,0,10,10
55,No,147,20,37,5415,15972,Yes,1,12,10
26,No,496,11,60,4741,22722,Yes,1,5,5
37,No,1372,1,42,2115,15881,No,0,17,17
44,Yes,920,24,43,3161,19920,Yes,1,19,1
38,No,688,23,82,5745,18899,No,1,10,2
26,Yes,1449,16,45,2373,14180,Yes,1,5,3
28,No,1117,8,66,3310,4488,No,0,5,5
49,No,636,10,35,18665,25594,Yes,0,22,3
36,No,506,3,30,4485,26285,No,0,10,8
31,No,444,5,84,2789,3909,No,1,2,2
26,Yes,950,4,48,5828,8450,Yes,0,8,8
37,No,889,9,53,2326,11411,Yes,3,4,4
42,No,555,26,77,13525,14864,No,1,23,20
18,Yes,230,3,54,1420,25233,No,0,0,0
35,No,1232,16,96,8020,5100,No,2,12,11
36,No,566,18,81,3688,7122,No,2,4,1
51,No,1302,2,84,5482,16321,No,1,13,4
41,No,334,2,88,16015,15896,No,0,22,22
18,No,812,10,69,1200,9724,No,0,0,0
28,No,1476,16,68,5661,4824,No,0,9,8
31,No,218,7,100,6929,12241,No,1,10,8
39,No,1132,1,48,9613,10942,No,3,19,18
36,No,1105,24,47,5674,6927,No,1,11,9
32,No,906,7,91,5484,16985,No,1,13,13
38,No,849,25,81,12061,26707,No,1,19,10
58,No,390,1,32,5660,17056,Yes,1,12,5
31,No,691,5,86,4821,10077,Yes,1,6,5
31,No,106,2,62,6410,17822,No,0,9,2
45,No,1249,7,97,5210,20308,No,1,24,24
31,No,192,2,32,2695,7747,Yes,1,3,2
33,No,553,5,74,11878,23364,No,2,12,10
39,No,117,10,99,17068,5355,Yes,0,21,21
43,No,185,10,33,2455,10675,No,0,9,8
49,No,1091,1,90,13964,17810,Yes,0,25,7
52,Yes,723,8,85,4941,17747,No,0,11,8
27,No,1220,5,85,2478,20938,Yes,0,4,4
32,No,588,8,65,5228,24624,Yes,0,13,13
27,No,1377,2,74,4478,5242,Yes,0,5,5
31,No,691,7,73,7547,7143,No,3,13,7
32,No,1018,2,74,5055,10557,No,0,10,7
28,Yes,1157,2,84,3464,24737,Yes,0,5,3
30,No,1275,28,64,5775,11934,No,2,11,10
31,No,798,7,48,8943,14034,No,1,10,10
39,No,672,7,54,19272,21141,No,1,21,21
39,Yes,1162,3,41,5238,17778,Yes,0,12,1
33,No,508,10,46,4682,4317,No,0,9,7
47,No,1482,5,42,18300,16375,No,1,21,3
43,No,559,10,82,5257,6227,No,1,9,9
27,No,210,1,73,6349,22107,Yes,1,6,5
54,No,928,20,31,4869,16885,No,0,20,4
43,No,1001,7,43,9985,9262,No,1,10,1
45,No,549,8,75,3697,9278,No,2,12,10
40,No,1124,1,57,7457,13273,Yes,3,6,4
29,Yes,318,8,77,2119,4759,Yes,0,7,7
29,No,738,9,30,3983,7621,No,0,4,3
30,No,570,5,30,6118,5431,No,3,10,10
27,No,1130,8,56,6214,3415,No,1,8,8
37,No,1192,5,61,6347,23177,No,2,8,6
38,No,343,15,92,11510,15682,Yes,1,12,11
31,No,1232,7,39,7143,25713,Yes,0,11,11
29,No,144,10,39,8268,11866,Yes,2,7,7
35,No,1296,5,62,8095,18264,No,0,17,16
23,No,1309,26,83,2904,16092,No,2,4,4
41,No,483,6,95,6032,10110,Yes,0,8,5
47,No,1309,4,99,2976,25751,No,0,5,0
42,No,810,23,44,15992,15901,No,0,16,1
29,No,746,2,61,4649,16928,No,1,4,4
42,No,544,2,52,2696,24017,Yes,1,4,3
32,No,1062,2,75,2370,3956,No,1,8,8
48,No,530,29,91,12504,23978,No,1,15,0
37,No,1319,6,51,5974,17001,Yes,2,13,7
30,No,641,25,85,4736,6069,Yes,1,4,2
26,No,933,1,57,5296,20156,No,1,8,8
42,No,1332,2,98,6781,17078,No,0,14,1
21,Yes,756,1,99,2174,9150,Yes,0,3,3
36,No,845,1,45,6653,15276,No,0,7,1
36,No,541,3,48,9699,7246,No,1,16,13
57,No,593,1,88,6755,2967,No,0,15,3
40,No,1171,10,46,2213,22495,Yes,1,10,7
21,No,895,9,39,2610,2851,No,0,3,3
33,Yes,350,5,34,2851,9150,Yes,0,1,1
37,No,921,10,98,3452,17663,No,1,17,5
46,No,1144,7,30,5258,16044,No,0,7,1
41,Yes,143,4,56,9355,9558,No,0,8,8
50,No,1046,10,100,10496,2755,No,0,20,4
40,Yes,575,22,68,6380,6110,Yes,2,8,6
31,No,408,9,42,2657,7551,Yes,0,3,2
21,Yes,156,12,90,2716,25422,No,0,1,1
29,No,1283,23,54,2201,18168,No,0,6,3
35,No,755,9,97,6540,19394,No,0,10,1
27,No,1469,1,82,3816,17881,No,1,5,5
28,No,304,9,92,5253,20750,No,0,7,7
49,No,1261,7,31,10965,12066,No,0,26,5
51,No,1178,14,87,4936,14862,No,1,18,7
36,No,329,2,96,2543,11868,No,1,6,2
34,Yes,1362,19,67,5304,4652,Yes,0,9,5
55,No,1311,2,97,16659,23258,Yes,0,30,5
24,No,1371,10,77,4260,5915,Yes,1,5,5
30,No,202,2,72,2476,17434,No,1,1,1
26,Yes,575,3,73,3102,6582,No,0,7,6
22,No,253,11,43,2244,24440,No,1,2,2
36,No,164,2,61,7596,3809,No,2,10,10
30,Yes,464,4,40,2285,3427,Yes,0,3,1
37,No,1107,14,95,3034,26914,No,1,18,18
40,No,759,2,46,5715,22553,No,2,8,5
42,No,201,1,95,2576,20490,No,1,8,5
37,No,1305,10,49,4197,21123,Yes,0,18,1
43,No,982,12,59,14336,4345,No,1,25,25
40,No,555,2,78,3448,13436,No,1,20,1
54,No,821,5,86,19406,8509,No,1,24,4
34,No,1381,4,72,6538,12740,No,1,6,3
31,No,480,7,31,4306,4156,No,1,13,13
43,No,313,21,61,2258,15238,No,1,8,3
43,No,1473,8,74,4522,2227,Yes,0,8,5
25,No,891,4,99,4487,12090,Yes,0,5,5
37,No,1063,25,72,4449,23866,Yes,2,15,13
31,No,329,1,98,2218,16193,No,1,4,4
39,No,1218,1,52,19197,8213,Yes,1,21,21
56,No,906,6,86,13212,18256,No,3,36,7
30,No,1082,12,83,6577,19558,No,0,6,5
41,No,645,1,49,8392,19566,No,1,10,10
28,No,1300,17,79,4558,13535,No,1,10,10
25,Yes,688,3,91,4031,9396,No,1,6,2
52,No,319,3,39,7969,19609,Yes,0,28,5
45,No,192,10,69,2654,9655,No,2,8,2
52,No,1490,4,30,16555,10310,No,0,31,5
42,No,532,29,92,4556,12932,No,1,19,5
30,No,317,2,43,6091,24793,No,0,11,5
60,No,422,7,41,19566,3854,No,0,33,29
46,No,1485,18,87,4810,26314,No,1,19,10
42,No,1368,28,88,4523,4386,No,3,7,6
24,Yes,1448,1,62,3202,21972,Yes,0,6,5
34,Yes,296,6,33,2351,12253,No,1,3,2
38,No,1490,2,42,1702,12106,Yes,1,1,1
40,No,1398,2,79,18041,13022,No,0,21,20
26,No,1349,23,90,2886,3032,No,2,3,3
30,No,1400,3,53,2097,16734,No,1,9,5
29,No,986,3,93,11935,21526,No,0,10,10
29,Yes,408,25,71,2546,18300,No,0,6,2
19,Yes,489,2,52,2564,18437,No,0,1,1
30,No,1398,22,69,8412,2890,No,0,10,9
57,No,210,29,56,14118,22102,No,1,32,1
50,No,1099,29,88,17046,9314,No,1,28,27
30,No,1116,2,49,2564,7181,No,0,12,11
60,No,1499,28,80,10266,2845,No,0,22,18
47,No,983,2,65,5070,7389,No,3,20,5
46,No,1009,2,51,17861,2288,No,0,26,3
35,No,144,22,46,4230,19225,No,0,6,5
54,No,548,8,42,3780,23428,No,0,19,1
34,No,1303,2,62,2768,8416,No,1,14,7
46,No,1125,10,94,9071,11563,Yes,1,15,3
31,No,1274,9,33,10648,14394,No,1,13,13
33,Yes,1277,15,56,13610,24619,Yes,0,15,7
33,Yes,587,10,38,3408,6705,No,3,8,4
30,No,413,7,57,2983,18398,No,0,4,3
35,No,1276,16,72,7632,14295,Yes,0,10,8
31,Yes,534,20,66,9824,22908,No,0,12,1
34,Yes,988,23,43,9950,11533,Yes,3,11,3
42,No,1474,5,97,2093,9260,No,1,8,2
36,No,635,10,32,9980,15318,No,0,10,10
22,Yes,1368,4,99,3894,9129,No,0,4,2
48,No,163,2,37,4051,19658,No,1,14,9
55,No,1117,18,83,16835,9873,No,0,37,10
41,No,267,10,56,6230,13430,No,0,16,14
35,No,619,1,85,4717,18659,No,0,15,11
40,No,302,6,75,13237,20364,No,0,22,20
39,No,443,8,48,3755,17872,No,1,8,8
31,No,828,2,77,6582,8346,Yes,0,10,6
42,No,319,24,56,7406,6950,Yes,1,10,10
45,No,561,2,61,4805,16177,No,1,9,8
26,Yes,426,17,58,2741,22808,Yes,1,8,7
29,No,232,19,34,4262,22645,No,2,8,3
33,No,922,1,95,16184,22578,No,1,10,6
31,No,688,7,44,11557,25291,No,1,10,5
18,Yes,1306,5,69,1878,8059,Yes,0,0,0
40,No,1094,28,58,10932,11373,No,1,20,1
41,No,509,2,62,6811,2112,Yes,0,10,8
26,No,775,29,45,4306,4267,No,2,8,0
35,No,195,1,80,4859,6698,No,0,5,5
34,No,258,21,74,5337,19921,No,0,10,10
26,Yes,471,24,66,2340,23213,Yes,0,1,1
37,No,799,1,59,7491,23848,No,0,12,6
46,No,1034,18,86,10527,8984,No,0,28,2
41,No,1276,2,91,16595,5626,No,1,22,18
37,No,142,9,69,8834,24666,No,1,9,9
52,No,956,6,78,5577,22087,Yes,2,18,10
32,Yes,1474,11,60,4707,23914,No,0,6,4
24,No,535,24,38,2400,5530,No,2,3,2
38,No,1495,10,76,9824,22174,No,1,18,1
37,No,446,1,65,6447,15701,No,1,8,6
49,No,1245,18,58,19502,2125,Yes,1,31,31
24,No,691,23,89,2725,21630,Yes,2,6,6
26,No,703,28,66,6272,7428,No,2,6,5
24,No,823,17,94,2127,9100,No,1,1,1
50,No,1246,3,99,18200,7999,No,1,32,32
25,No,622,13,40,2096,26376,No,0,7,7
24,Yes,1287,7,55,2886,14168,Yes,1,6,6
30,Yes,448,12,74,2033,14470,No,1,1,1
34,No,254,1,83,3622,22794,Yes,1,6,6
31,Yes,1365,13,46,4233,11512,No,0,9,3
35,No,538,25,54,3681,14004,No,0,9,3
31,No,525,6,66,5460,6219,No,2,13,7
27,No,798,6,66,2187,5013,No,2,6,5
37,No,558,2,75,9602,3010,Yes,1,17,3
20,No,959,1,83,2836,11757,No,0,1,1
42,No,622,2,81,4089,5718,No,2,10,10
43,No,782,6,50,16627,2671,Yes,1,21,1
38,No,362,1,43,2619,14561,No,0,8,0
43,No,1001,9,72,5679,19627,Yes,1,10,8
48,No,1236,1,40,15402,17997,No,1,21,3
44,No,1112,1,50,5985,26894,No,0,10,2
34,No,204,14,31,2579,2912,Yes,2,8,8
27,Yes,1420,2,85,3041,16346,No,1,5,4
21,No,1343,22,49,3447,24444,No,0,3,3
44,No,1315,3,35,19513,9358,Yes,1,26,2
22,No,604,6,69,2773,12145,No,0,3,2
33,No,1216,8,39,7104,20431,No,0,6,5
32,No,646,9,92,6322,18089,Yes,1,6,6
30,No,160,3,71,2083,22653,No,1,1,1
53,No,238,1,34,8381,7507,No,0,18,14
34,No,1397,1,42,2691,7660,No,1,10,10
45,Yes,306,26,100,4286,5630,No,2,5,1
26,No,991,6,71,2659,17759,Yes,1,3,3
37,No,482,3,36,9434,9606,No,1,10,10
29,No,1176,3,62,5561,3487,No,1,6,6
35,No,1017,6,82,6646,19368,No,0,17,17
33,No,1296,6,30,7725,5335,No,1,15,13
54,No,397,19,88,10725,6729,No,1,16,9
36,No,913,9,48,8847,13934,Yes,1,13,3
27,No,1115,3,54,2045,15174,No,0,5,4
20,Yes,1362,10,32,1009,26999,Yes,0,1,1
33,Yes,1076,3,70,3348,3164,Yes,0,10,10
35,No,727,3,41,1281,16900,No,2,1,1
23,No,885,4,58,2819,8544,No,1,5,3
25,No,810,8,57,4851,15678,No,1,4,3
38,No,243,7,46,4028,7791,No,0,8,7
29,No,806,1,76,2720,18959,No,1,10,10
48,No,817,2,56,8120,18597,No,0,12,2
27,No,1410,3,71,4647,16673,Yes,2,6,6
37,No,1225,10,80,4680,15232,No,0,4,1
50,No,1207,28,74,3221,3297,Yes,3,20,20
34,No,1442,9,46,8621,17654,No,0,9,8
24,Yes,693,3,65,4577,24785,No,0,4,2
39,No,408,2,80,4553,20978,No,0,20,20
32,No,929,10,55,5396,21703,No,0,10,10
50,Yes,562,8,50,6796,23452,Yes,1,18,4
38,No,827,1,33,7625,19383,No,0,10,9
27,No,608,1,68,7412,6009,No,0,9,9
32,No,1018,3,39,11159,19373,No,0,10,7
47,No,703,14,42,4960,11825,No,0,20,7
40,No,580,5,48,10475,23772,Yes,1,20,18
53,No,970,7,59,14814,13514,No,0,32,5
41,No,427,10,73,19141,8861,No,3,23,21
60,No,1179,16,84,5405,11924,No,0,10,2
27,No,294,10,32,8793,4809,No,2,9,9
41,No,314,1,59,19189,19562,No,1,22,22
50,No,316,8,54,3875,9983,No,1,4,2
28,Yes,654,1,67,2216,3872,Yes,0,10,7
36,No,427,8,63,11713,20335,No,1,10,8
38,No,168,1,81,7861,15397,Yes,0,10,1
44,No,381,24,49,3708,2104,No,0,9,5
47,No,217,3,49,13770,10225,Yes,2,28,22
30,No,501,27,99,5304,25275,No,1,10,8
29,No,1396,10,99,2642,2755,No,0,1,1
